***************************** RESULTS *****************************
NODE: 214328887	CLOSENESS-CENTRALITY: 0.276386
NODE: 297801196	CLOSENESS-CENTRALITY: 0.264105
NODE: 8088112	CLOSENESS-CENTRALITY: 0.289803
NODE: 14925700	CLOSENESS-CENTRALITY: 0.289023
NODE: 124528830	CLOSENESS-CENTRALITY: 0.262620
NODE: 307458983	CLOSENESS-CENTRALITY: 0.273826
NODE: 160237722	CLOSENESS-CENTRALITY: 0.291440
NODE: 220368467	CLOSENESS-CENTRALITY: 0.283046
NODE: 54228724	CLOSENESS-CENTRALITY: 0.292619
NODE: 206923844	CLOSENESS-CENTRALITY: 0.285520
NODE: 103598216	CLOSENESS-CENTRALITY: 0.276197
NODE: 207594668	CLOSENESS-CENTRALITY: 0.286441
NODE: 21146135	CLOSENESS-CENTRALITY: 0.278280
NODE: 451250774	CLOSENESS-CENTRALITY: 0.281539
NODE: 314316607	CLOSENESS-CENTRALITY: 0.285984
NODE: 6581292	CLOSENESS-CENTRALITY: 0.306481
NODE: 31331740	CLOSENESS-CENTRALITY: 0.309041
NODE: 196327549	CLOSENESS-CENTRALITY: 0.273837
NODE: 225444667	CLOSENESS-CENTRALITY: 0.270651
NODE: 274153775	CLOSENESS-CENTRALITY: 0.290565
NODE: 35415466	CLOSENESS-CENTRALITY: 0.271254
NODE: 72818790	CLOSENESS-CENTRALITY: 0.280112
NODE: 324201646	CLOSENESS-CENTRALITY: 0.264671
NODE: 40981798	CLOSENESS-CENTRALITY: 0.334447
NODE: 430268163	CLOSENESS-CENTRALITY: 0.275157
NODE: 88097807	CLOSENESS-CENTRALITY: 0.263953
NODE: 276308596	CLOSENESS-CENTRALITY: 0.295833
NODE: 358775055	CLOSENESS-CENTRALITY: 0.289691
NODE: 15023872	CLOSENESS-CENTRALITY: 0.295708
NODE: 16870853	CLOSENESS-CENTRALITY: 0.312459
NODE: 70492333	CLOSENESS-CENTRALITY: 0.290079
NODE: 430313102	CLOSENESS-CENTRALITY: 0.273917
NODE: 299715516	CLOSENESS-CENTRALITY: 0.262799
NODE: 35359596	CLOSENESS-CENTRALITY: 0.281593
NODE: 276577539	CLOSENESS-CENTRALITY: 0.261512
NODE: 248883350	CLOSENESS-CENTRALITY: 0.275199
NODE: 157829215	CLOSENESS-CENTRALITY: 0.286243
NODE: 107511013	CLOSENESS-CENTRALITY: 0.263106
NODE: 22462180	CLOSENESS-CENTRALITY: 0.320378
NODE: 258140947	CLOSENESS-CENTRALITY: 0.293702
NODE: 200559228	CLOSENESS-CENTRALITY: 0.302334
NODE: 19493072	CLOSENESS-CENTRALITY: 0.295243
NODE: 123371682	CLOSENESS-CENTRALITY: 0.275668
NODE: 461410856	CLOSENESS-CENTRALITY: 0.281553
NODE: 31414569	CLOSENESS-CENTRALITY: 0.304863
NODE: 37699718	CLOSENESS-CENTRALITY: 0.279229
NODE: 117901353	CLOSENESS-CENTRALITY: 0.294595
NODE: 117674417	CLOSENESS-CENTRALITY: 0.293777
NODE: 231238695	CLOSENESS-CENTRALITY: 0.274872
NODE: 56860418	CLOSENESS-CENTRALITY: 0.282387
NODE: 43003845	CLOSENESS-CENTRALITY: 0.320648
NODE: 413275344	CLOSENESS-CENTRALITY: 0.262859
NODE: 259842341	CLOSENESS-CENTRALITY: 0.302486
NODE: 400689940	CLOSENESS-CENTRALITY: 0.267799
NODE: 26929220	CLOSENESS-CENTRALITY: 0.309960
NODE: 35148062	CLOSENESS-CENTRALITY: 0.257187
NODE: 166214735	CLOSENESS-CENTRALITY: 0.289545
NODE: 57490887	CLOSENESS-CENTRALITY: 0.267284
NODE: 148519842	CLOSENESS-CENTRALITY: 0.275572
NODE: 15150609	CLOSENESS-CENTRALITY: 0.292458
NODE: 17759158	CLOSENESS-CENTRALITY: 0.305176
NODE: 83943787	CLOSENESS-CENTRALITY: 0.292530
NODE: 283306479	CLOSENESS-CENTRALITY: 0.263058
NODE: 125120339	CLOSENESS-CENTRALITY: 0.282280
NODE: 220068522	CLOSENESS-CENTRALITY: 0.265380
NODE: 155661154	CLOSENESS-CENTRALITY: 0.301233
NODE: 195475105	CLOSENESS-CENTRALITY: 0.298593
NODE: 134940306	CLOSENESS-CENTRALITY: 0.280706
NODE: 115221382	CLOSENESS-CENTRALITY: 0.302517
NODE: 368018677	CLOSENESS-CENTRALITY: 0.238644
NODE: 439788025	CLOSENESS-CENTRALITY: 0.276263
NODE: 262340283	CLOSENESS-CENTRALITY: 0.267577
NODE: 116498875	CLOSENESS-CENTRALITY: 0.262888
NODE: 257236842	CLOSENESS-CENTRALITY: 0.275025
NODE: 128721580	CLOSENESS-CENTRALITY: 0.233704
NODE: 463952369	CLOSENESS-CENTRALITY: 0.289750
NODE: 254610699	CLOSENESS-CENTRALITY: 0.251523
NODE: 247741328	CLOSENESS-CENTRALITY: 0.249568
NODE: 226629405	CLOSENESS-CENTRALITY: 0.274239
NODE: 529007327	CLOSENESS-CENTRALITY: 0.264635
NODE: 94621855	CLOSENESS-CENTRALITY: 0.263436
NODE: 83417972	CLOSENESS-CENTRALITY: 0.286277
NODE: 236184723	CLOSENESS-CENTRALITY: 0.274097
NODE: 197504076	CLOSENESS-CENTRALITY: 0.295766
NODE: 86221475	CLOSENESS-CENTRALITY: 0.280167
NODE: 222411742	CLOSENESS-CENTRALITY: 0.262931
NODE: 250178329	CLOSENESS-CENTRALITY: 0.261711
NODE: 292598082	CLOSENESS-CENTRALITY: 0.273016
NODE: 145845459	CLOSENESS-CENTRALITY: 0.269527
NODE: 29911100	CLOSENESS-CENTRALITY: 0.266952
NODE: 294752666	CLOSENESS-CENTRALITY: 0.272935
NODE: 27077521	CLOSENESS-CENTRALITY: 0.267424
NODE: 163238842	CLOSENESS-CENTRALITY: 0.263103
NODE: 133055665	CLOSENESS-CENTRALITY: 0.280538
NODE: 238201669	CLOSENESS-CENTRALITY: 0.261722
NODE: 260769396	CLOSENESS-CENTRALITY: 0.287129
NODE: 288485704	CLOSENESS-CENTRALITY: 0.296311
NODE: 229425177	CLOSENESS-CENTRALITY: 0.274707
NODE: 252770012	CLOSENESS-CENTRALITY: 0.273336
NODE: 121533789	CLOSENESS-CENTRALITY: 0.270906
NODE: 203338499	CLOSENESS-CENTRALITY: 0.286374
NODE: 213777144	CLOSENESS-CENTRALITY: 0.284837
NODE: 46209291	CLOSENESS-CENTRALITY: 0.290805
NODE: 46831674	CLOSENESS-CENTRALITY: 0.248627
NODE: 18951737	CLOSENESS-CENTRALITY: 0.327556
NODE: 239144776	CLOSENESS-CENTRALITY: 0.284242
NODE: 8163442	CLOSENESS-CENTRALITY: 0.283939
NODE: 28019653	CLOSENESS-CENTRALITY: 0.250342
NODE: 447688115	CLOSENESS-CENTRALITY: 0.272442
NODE: 16503181	CLOSENESS-CENTRALITY: 0.260194
NODE: 109740608	CLOSENESS-CENTRALITY: 0.265387
NODE: 116036694	CLOSENESS-CENTRALITY: 0.308880
NODE: 179138862	CLOSENESS-CENTRALITY: 0.288367
NODE: 276706356	CLOSENESS-CENTRALITY: 0.275783
NODE: 236143101	CLOSENESS-CENTRALITY: 0.283676
NODE: 333161611	CLOSENESS-CENTRALITY: 0.250893
NODE: 19358562	CLOSENESS-CENTRALITY: 0.280083
NODE: 226165839	CLOSENESS-CENTRALITY: 0.288264
NODE: 33612973	CLOSENESS-CENTRALITY: 0.282910
NODE: 37270037	CLOSENESS-CENTRALITY: 0.294591
NODE: 49104918	CLOSENESS-CENTRALITY: 0.276236
NODE: 83032174	CLOSENESS-CENTRALITY: 0.270381
NODE: 55033682	CLOSENESS-CENTRALITY: 0.296938
NODE: 170460311	CLOSENESS-CENTRALITY: 0.300054
NODE: 152388029	CLOSENESS-CENTRALITY: 0.281822
NODE: 112939321	CLOSENESS-CENTRALITY: 0.268433
NODE: 265077741	CLOSENESS-CENTRALITY: 0.265885
NODE: 261447035	CLOSENESS-CENTRALITY: 0.260823
NODE: 120599128	CLOSENESS-CENTRALITY: 0.270148
NODE: 186212304	CLOSENESS-CENTRALITY: 0.292726
NODE: 57828817	CLOSENESS-CENTRALITY: 0.283450
NODE: 250340951	CLOSENESS-CENTRALITY: 0.265076
NODE: 59588845	CLOSENESS-CENTRALITY: 0.304398
NODE: 2367911	CLOSENESS-CENTRALITY: 0.352237
NODE: 74107696	CLOSENESS-CENTRALITY: 0.264199
NODE: 477094958	CLOSENESS-CENTRALITY: 0.281392
NODE: 233248636	CLOSENESS-CENTRALITY: 0.267731
NODE: 86799233	CLOSENESS-CENTRALITY: 0.271998
NODE: 17627996	CLOSENESS-CENTRALITY: 0.286316
NODE: 30971165	CLOSENESS-CENTRALITY: 0.263690
NODE: 271602109	CLOSENESS-CENTRALITY: 0.261875
NODE: 81446304	CLOSENESS-CENTRALITY: 0.262174
NODE: 282206645	CLOSENESS-CENTRALITY: 0.260468
NODE: 31317273	CLOSENESS-CENTRALITY: 0.246071
NODE: 204140367	CLOSENESS-CENTRALITY: 0.304752
NODE: 189875309	CLOSENESS-CENTRALITY: 0.266863
NODE: 170167167	CLOSENESS-CENTRALITY: 0.292565
NODE: 45333725	CLOSENESS-CENTRALITY: 0.278401
NODE: 222090651	CLOSENESS-CENTRALITY: 0.294144
NODE: 93224416	CLOSENESS-CENTRALITY: 0.235657
NODE: 355823615	CLOSENESS-CENTRALITY: 0.264180
NODE: 309782398	CLOSENESS-CENTRALITY: 0.259100
NODE: 253091523	CLOSENESS-CENTRALITY: 0.286767
NODE: 349413327	CLOSENESS-CENTRALITY: 0.264333
NODE: 375317198	CLOSENESS-CENTRALITY: 0.269668
NODE: 31246395	CLOSENESS-CENTRALITY: 0.274838
NODE: 200884513	CLOSENESS-CENTRALITY: 0.236119
NODE: 312284236	CLOSENESS-CENTRALITY: 0.290121
NODE: 260705759	CLOSENESS-CENTRALITY: 0.237030
NODE: 43640117	CLOSENESS-CENTRALITY: 0.261322
NODE: 236026868	CLOSENESS-CENTRALITY: 0.262731
NODE: 95260836	CLOSENESS-CENTRALITY: 0.284421
NODE: 63941463	CLOSENESS-CENTRALITY: 0.262128
NODE: 83155222	CLOSENESS-CENTRALITY: 0.284327
NODE: 451493376	CLOSENESS-CENTRALITY: 0.236752
NODE: 73738774	CLOSENESS-CENTRALITY: 0.273486
NODE: 100052945	CLOSENESS-CENTRALITY: 0.239301
NODE: 21272026	CLOSENESS-CENTRALITY: 0.273568
NODE: 33806113	CLOSENESS-CENTRALITY: 0.250393
NODE: 9695312	CLOSENESS-CENTRALITY: 0.296793
NODE: 272173354	CLOSENESS-CENTRALITY: 0.272434
NODE: 41472982	CLOSENESS-CENTRALITY: 0.244065
NODE: 287915525	CLOSENESS-CENTRALITY: 0.255885
NODE: 105259389	CLOSENESS-CENTRALITY: 0.237072
NODE: 31457243	CLOSENESS-CENTRALITY: 0.270286
NODE: 102765423	CLOSENESS-CENTRALITY: 0.257943
NODE: 273149543	CLOSENESS-CENTRALITY: 0.244780
NODE: 53222305	CLOSENESS-CENTRALITY: 0.283298
NODE: 215787132	CLOSENESS-CENTRALITY: 0.253967
NODE: 375228586	CLOSENESS-CENTRALITY: 0.218395
NODE: 72680406	CLOSENESS-CENTRALITY: 0.230450
NODE: 11259362	CLOSENESS-CENTRALITY: 0.269964
NODE: 16216637	CLOSENESS-CENTRALITY: 0.237234
NODE: 767809	CLOSENESS-CENTRALITY: 0.229073
NODE: 30690708	CLOSENESS-CENTRALITY: 0.270040
NODE: 5992502	CLOSENESS-CENTRALITY: 0.252754
NODE: 17859804	CLOSENESS-CENTRALITY: 0.236577
NODE: 83876527	CLOSENESS-CENTRALITY: 0.265409
NODE: 19681661	CLOSENESS-CENTRALITY: 0.230452
NODE: 15465769	CLOSENESS-CENTRALITY: 0.233508
NODE: 22689667	CLOSENESS-CENTRALITY: 0.235369
NODE: 195409031	CLOSENESS-CENTRALITY: 0.226943
NODE: 57261575	CLOSENESS-CENTRALITY: 0.226944
NODE: 4126501	CLOSENESS-CENTRALITY: 0.252436
NODE: 22558481	CLOSENESS-CENTRALITY: 0.252155
NODE: 18109441	CLOSENESS-CENTRALITY: 0.269798
NODE: 60607157	CLOSENESS-CENTRALITY: 0.226933
NODE: 25615305	CLOSENESS-CENTRALITY: 0.256802
NODE: 16877939	CLOSENESS-CENTRALITY: 0.264560
NODE: 21734241	CLOSENESS-CENTRALITY: 0.252159
NODE: 46073276	CLOSENESS-CENTRALITY: 0.252586
NODE: 166002579	CLOSENESS-CENTRALITY: 0.226932
NODE: 6463042	CLOSENESS-CENTRALITY: 0.265202
NODE: 96770886	CLOSENESS-CENTRALITY: 0.226943
NODE: 7712232	CLOSENESS-CENTRALITY: 0.231756
NODE: 99211591	CLOSENESS-CENTRALITY: 0.265289
NODE: 23930272	CLOSENESS-CENTRALITY: 0.241967
NODE: 37977732	CLOSENESS-CENTRALITY: 0.274102
NODE: 16858804	CLOSENESS-CENTRALITY: 0.246085
NODE: 44436825	CLOSENESS-CENTRALITY: 0.270666
NODE: 28359405	CLOSENESS-CENTRALITY: 0.228498
NODE: 9973842	CLOSENESS-CENTRALITY: 0.277094
NODE: 451331227	CLOSENESS-CENTRALITY: 0.230428
NODE: 55113	CLOSENESS-CENTRALITY: 0.245695
NODE: 124746917	CLOSENESS-CENTRALITY: 0.253030
NODE: 41048052	CLOSENESS-CENTRALITY: 0.252161
NODE: 14677919	CLOSENESS-CENTRALITY: 0.333027
NODE: 203827751	CLOSENESS-CENTRALITY: 0.269946
NODE: 10075442	CLOSENESS-CENTRALITY: 0.233536
NODE: 17342842	CLOSENESS-CENTRALITY: 0.265575
NODE: 17477343	CLOSENESS-CENTRALITY: 0.254479
NODE: 56318573	CLOSENESS-CENTRALITY: 0.253445
NODE: 111615736	CLOSENESS-CENTRALITY: 0.295134
NODE: 83529586	CLOSENESS-CENTRALITY: 0.232948
NODE: 9503302	CLOSENESS-CENTRALITY: 0.232346
NODE: 5533902	CLOSENESS-CENTRALITY: 0.239717
NODE: 14551276	CLOSENESS-CENTRALITY: 0.297233
NODE: 17870886	CLOSENESS-CENTRALITY: 0.270772
NODE: 98976495	CLOSENESS-CENTRALITY: 0.279877
NODE: 22200888	CLOSENESS-CENTRALITY: 0.264738
NODE: 88974843	CLOSENESS-CENTRALITY: 0.252155
NODE: 16967011	CLOSENESS-CENTRALITY: 0.264023
NODE: 171145913	CLOSENESS-CENTRALITY: 0.270593
NODE: 163937752	CLOSENESS-CENTRALITY: 0.279189
NODE: 21742517	CLOSENESS-CENTRALITY: 0.241623
NODE: 113415132	CLOSENESS-CENTRALITY: 0.226937
NODE: 79797834	CLOSENESS-CENTRALITY: 0.358038
NODE: 18758940	CLOSENESS-CENTRALITY: 0.230040
NODE: 138549366	CLOSENESS-CENTRALITY: 0.229109
NODE: 19230869	CLOSENESS-CENTRALITY: 0.226935
NODE: 84111527	CLOSENESS-CENTRALITY: 0.226941
NODE: 50944856	CLOSENESS-CENTRALITY: 0.226945
NODE: 117998529	CLOSENESS-CENTRALITY: 0.264211
NODE: 23150071	CLOSENESS-CENTRALITY: 0.269781
NODE: 14169740	CLOSENESS-CENTRALITY: 0.269792
NODE: 38718720	CLOSENESS-CENTRALITY: 0.264134
NODE: 93906304	CLOSENESS-CENTRALITY: 0.303799
NODE: 6127252	CLOSENESS-CENTRALITY: 0.299806
NODE: 20757640	CLOSENESS-CENTRALITY: 0.247776
NODE: 17902348	CLOSENESS-CENTRALITY: 0.240144
NODE: 59557446	CLOSENESS-CENTRALITY: 0.283666
NODE: 27703441	CLOSENESS-CENTRALITY: 0.237312
NODE: 23484510	CLOSENESS-CENTRALITY: 0.300495
NODE: 792998	CLOSENESS-CENTRALITY: 0.237747
NODE: 18344173	CLOSENESS-CENTRALITY: 0.269622
NODE: 20583098	CLOSENESS-CENTRALITY: 0.230856
NODE: 55019225	CLOSENESS-CENTRALITY: 0.231696
NODE: 2705	CLOSENESS-CENTRALITY: 0.244697
NODE: 557196973	CLOSENESS-CENTRALITY: 0.263877
NODE: 23483324	CLOSENESS-CENTRALITY: 0.285298
NODE: 21074641	CLOSENESS-CENTRALITY: 0.253443
NODE: 52073562	CLOSENESS-CENTRALITY: 0.226933
NODE: 30486243	CLOSENESS-CENTRALITY: 0.232956
NODE: 174118650	CLOSENESS-CENTRALITY: 0.252422
NODE: 25835874	CLOSENESS-CENTRALITY: 0.226939
NODE: 17293897	CLOSENESS-CENTRALITY: 0.312438
NODE: 349256925	CLOSENESS-CENTRALITY: 0.252412
NODE: 258681133	CLOSENESS-CENTRALITY: 0.226931
NODE: 454423088	CLOSENESS-CENTRALITY: 0.268158
NODE: 22879382	CLOSENESS-CENTRALITY: 0.284176
NODE: 155613846	CLOSENESS-CENTRALITY: 0.252152
NODE: 35476618	CLOSENESS-CENTRALITY: 0.226931
NODE: 137355085	CLOSENESS-CENTRALITY: 0.226931
NODE: 30204310	CLOSENESS-CENTRALITY: 0.300033
NODE: 291476217	CLOSENESS-CENTRALITY: 0.226932
NODE: 236575672	CLOSENESS-CENTRALITY: 0.270753
NODE: 82030021	CLOSENESS-CENTRALITY: 0.327650
NODE: 17037417	CLOSENESS-CENTRALITY: 0.312803
NODE: 28149277	CLOSENESS-CENTRALITY: 0.313632
NODE: 111164068	CLOSENESS-CENTRALITY: 0.317937
NODE: 29514951	CLOSENESS-CENTRALITY: 0.325496
NODE: 94918917	CLOSENESS-CENTRALITY: 0.296427
NODE: 131601987	CLOSENESS-CENTRALITY: 0.318933
NODE: 159629146	CLOSENESS-CENTRALITY: 0.301769
NODE: 90722891	CLOSENESS-CENTRALITY: 0.293545
NODE: 90779436	CLOSENESS-CENTRALITY: 0.307214
NODE: 22784458	CLOSENESS-CENTRALITY: 0.336050
NODE: 191620115	CLOSENESS-CENTRALITY: 0.314934
NODE: 15999863	CLOSENESS-CENTRALITY: 0.284151
NODE: 146556805	CLOSENESS-CENTRALITY: 0.287485
NODE: 118811608	CLOSENESS-CENTRALITY: 0.278991
NODE: 95980722	CLOSENESS-CENTRALITY: 0.321994
NODE: 104155395	CLOSENESS-CENTRALITY: 0.321567
NODE: 51477206	CLOSENESS-CENTRALITY: 0.307730
NODE: 101903164	CLOSENESS-CENTRALITY: 0.286460
NODE: 14683518	CLOSENESS-CENTRALITY: 0.296686
NODE: 34805698	CLOSENESS-CENTRALITY: 0.315266
NODE: 176872879	CLOSENESS-CENTRALITY: 0.294895
NODE: 28144741	CLOSENESS-CENTRALITY: 0.309594
NODE: 37876253	CLOSENESS-CENTRALITY: 0.278362
NODE: 293353298	CLOSENESS-CENTRALITY: 0.333801
NODE: 239257866	CLOSENESS-CENTRALITY: 0.307132
NODE: 14876672	CLOSENESS-CENTRALITY: 0.328664
NODE: 486930916	CLOSENESS-CENTRALITY: 0.278584
NODE: 101859065	CLOSENESS-CENTRALITY: 0.312171
NODE: 263907906	CLOSENESS-CENTRALITY: 0.290902
NODE: 23152989	CLOSENESS-CENTRALITY: 0.306715
NODE: 345707398	CLOSENESS-CENTRALITY: 0.238374
NODE: 203623462	CLOSENESS-CENTRALITY: 0.231389
NODE: 61065794	CLOSENESS-CENTRALITY: 0.251063
NODE: 301695120	CLOSENESS-CENTRALITY: 0.241863
NODE: 102364313	CLOSENESS-CENTRALITY: 0.250465
NODE: 211670208	CLOSENESS-CENTRALITY: 0.232808
NODE: 37008705	CLOSENESS-CENTRALITY: 0.242511
NODE: 112819301	CLOSENESS-CENTRALITY: 0.250820
NODE: 352035443	CLOSENESS-CENTRALITY: 0.241673
NODE: 250849104	CLOSENESS-CENTRALITY: 0.251325
NODE: 19153742	CLOSENESS-CENTRALITY: 0.273270
NODE: 161788974	CLOSENESS-CENTRALITY: 0.250108
NODE: 147946019	CLOSENESS-CENTRALITY: 0.242497
NODE: 54581743	CLOSENESS-CENTRALITY: 0.238510
NODE: 235163686	CLOSENESS-CENTRALITY: 0.247527
NODE: 22440364	CLOSENESS-CENTRALITY: 0.263436
NODE: 54611487	CLOSENESS-CENTRALITY: 0.273995
NODE: 34507480	CLOSENESS-CENTRALITY: 0.303763
NODE: 243836182	CLOSENESS-CENTRALITY: 0.250107
NODE: 164422299	CLOSENESS-CENTRALITY: 0.242146
NODE: 27772095	CLOSENESS-CENTRALITY: 0.272021
NODE: 22592948	CLOSENESS-CENTRALITY: 0.252343
NODE: 328158079	CLOSENESS-CENTRALITY: 0.249471
NODE: 143838260	CLOSENESS-CENTRALITY: 0.251381
NODE: 58309829	CLOSENESS-CENTRALITY: 0.271757
NODE: 135268094	CLOSENESS-CENTRALITY: 0.287052
NODE: 222802532	CLOSENESS-CENTRALITY: 0.249014
NODE: 23375688	CLOSENESS-CENTRALITY: 0.321553
NODE: 25970331	CLOSENESS-CENTRALITY: 0.298468
NODE: 19383317	CLOSENESS-CENTRALITY: 0.278499
NODE: 230505689	CLOSENESS-CENTRALITY: 0.230484
NODE: 100318079	CLOSENESS-CENTRALITY: 0.279035
NODE: 206416476	CLOSENESS-CENTRALITY: 0.250117
NODE: 15460081	CLOSENESS-CENTRALITY: 0.263487
NODE: 20271494	CLOSENESS-CENTRALITY: 0.270983
NODE: 169504184	CLOSENESS-CENTRALITY: 0.250325
NODE: 16824090	CLOSENESS-CENTRALITY: 0.285828
NODE: 115525090	CLOSENESS-CENTRALITY: 0.250867
NODE: 29654458	CLOSENESS-CENTRALITY: 0.233236
NODE: 26649453	CLOSENESS-CENTRALITY: 0.236492
NODE: 14425825	CLOSENESS-CENTRALITY: 0.268527
NODE: 421412483	CLOSENESS-CENTRALITY: 0.234946
NODE: 243227325	CLOSENESS-CENTRALITY: 0.234768
NODE: 240944206	CLOSENESS-CENTRALITY: 0.232800
NODE: 63808966	CLOSENESS-CENTRALITY: 0.252043
NODE: 16895295	CLOSENESS-CENTRALITY: 0.245001
NODE: 243273954	CLOSENESS-CENTRALITY: 0.250872
NODE: 226516599	CLOSENESS-CENTRALITY: 0.241412
NODE: 163274846	CLOSENESS-CENTRALITY: 0.252160
NODE: 111990504	CLOSENESS-CENTRALITY: 0.245219
NODE: 408060505	CLOSENESS-CENTRALITY: 0.241066
NODE: 309765553	CLOSENESS-CENTRALITY: 0.245999
NODE: 27090278	CLOSENESS-CENTRALITY: 0.250118
NODE: 225488317	CLOSENESS-CENTRALITY: 0.250102
NODE: 148081553	CLOSENESS-CENTRALITY: 0.231719
NODE: 197090502	CLOSENESS-CENTRALITY: 0.234621
NODE: 69373005	CLOSENESS-CENTRALITY: 0.248338
NODE: 48504743	CLOSENESS-CENTRALITY: 0.242235
NODE: 302936475	CLOSENESS-CENTRALITY: 0.230486
NODE: 480595611	CLOSENESS-CENTRALITY: 0.250110
NODE: 40968863	CLOSENESS-CENTRALITY: 0.261501
NODE: 34270956	CLOSENESS-CENTRALITY: 0.247563
NODE: 2883841	CLOSENESS-CENTRALITY: 0.307762
NODE: 325054079	CLOSENESS-CENTRALITY: 0.231274
NODE: 126470482	CLOSENESS-CENTRALITY: 0.243681
NODE: 181288376	CLOSENESS-CENTRALITY: 0.238207
NODE: 250988604	CLOSENESS-CENTRALITY: 0.238724
NODE: 171704225	CLOSENESS-CENTRALITY: 0.248026
NODE: 158526208	CLOSENESS-CENTRALITY: 0.241808
NODE: 192023970	CLOSENESS-CENTRALITY: 0.251352
NODE: 339373057	CLOSENESS-CENTRALITY: 0.238752
NODE: 193593048	CLOSENESS-CENTRALITY: 0.285002
NODE: 176222605	CLOSENESS-CENTRALITY: 0.230481
NODE: 244719623	CLOSENESS-CENTRALITY: 0.231272
NODE: 335678635	CLOSENESS-CENTRALITY: 0.240972
NODE: 79817691	CLOSENESS-CENTRALITY: 0.234356
NODE: 109698612	CLOSENESS-CENTRALITY: 0.231282
NODE: 208105146	CLOSENESS-CENTRALITY: 0.210346
NODE: 25592034	CLOSENESS-CENTRALITY: 0.230482
NODE: 333011515	CLOSENESS-CENTRALITY: 0.215480
NODE: 258490941	CLOSENESS-CENTRALITY: 0.220820
NODE: 342221618	CLOSENESS-CENTRALITY: 0.233641
NODE: 32032000	CLOSENESS-CENTRALITY: 0.304366
NODE: 19507713	CLOSENESS-CENTRALITY: 0.279824
NODE: 16583672	CLOSENESS-CENTRALITY: 0.330846
NODE: 35918787	CLOSENESS-CENTRALITY: 0.307509
NODE: 20803125	CLOSENESS-CENTRALITY: 0.296568
NODE: 311776211	CLOSENESS-CENTRALITY: 0.285768
NODE: 16079941	CLOSENESS-CENTRALITY: 0.327601
NODE: 7861312	CLOSENESS-CENTRALITY: 0.379547
NODE: 7860742	CLOSENESS-CENTRALITY: 0.370204
NODE: 9955652	CLOSENESS-CENTRALITY: 0.264273
NODE: 462541005	CLOSENESS-CENTRALITY: 0.286652
NODE: 20747741	CLOSENESS-CENTRALITY: 0.323684
NODE: 17047105	CLOSENESS-CENTRALITY: 0.308657
NODE: 23559552	CLOSENESS-CENTRALITY: 0.295788
NODE: 20106852	CLOSENESS-CENTRALITY: 0.325473
NODE: 51246108	CLOSENESS-CENTRALITY: 0.290578
NODE: 20637608	CLOSENESS-CENTRALITY: 0.304213
NODE: 434725454	CLOSENESS-CENTRALITY: 0.291341
NODE: 18927441	CLOSENESS-CENTRALITY: 0.345545
NODE: 18666844	CLOSENESS-CENTRALITY: 0.348273
